case_id,category,case_class,actual_decision,acceptable_decisions,decision_compliant,release_eligible,analysis_complete,completeness_class,worker_status,findings_recall_pass,missing_expected_findings,unexpected_findings,latency_ms,error
PDF-RISK-002,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,180,
PDF-RISK-003,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,184,
PDF-RISK-004,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,181,
PDF-RISK-005,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,197,
PDF-RISK-006,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,178,
PDF-RISK-007,RISKY_PDF,RISKY,REVIEW,REVIEW,true,false,true,COMPLETE,SUCCESS,true,,,181,
PDF-RISK-008,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,187,
PDF-RISK-009,RISKY_PDF,RISKY,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,173,
PDF-RISK-010,RISKY_PDF,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,188,
PDF-RISK-011,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,false,INTENTIONAL_PARTIAL,FAILED,true,,,188,
PDF-RISK-012,RISKY_PDF,RISKY,QUARANTINE,QUARANTINE,true,false,false,PARSER_FAILURE,FAILED,true,,,189,
YAR-001,YARA,RISKY,BLOCK,BLOCK,true,false,true,COMPLETE,SUCCESS,true,,,122,
YAR-002,YARA,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,220,
YAR-003,YARA,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,122,
YAR-004,YARA,RISKY,QUARANTINE,QUARANTINE,true,false,true,COMPLETE,SUCCESS,true,,,116,
YAR-005,YARA,BENIGN,ALLOW,ALLOW,true,true,true,COMPLETE,SUCCESS,true,,,132,
